fpl_hostname,fpl_name,fpl_controvflag,fpl_disc,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_orbperlim,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_smaxlim,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_eccenlim,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_bmasselim,fpl_bmassprov,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_radelim,fpl_dens,fpl_denserr1,fpl_denserr2,fpl_denslim,ra_str,ra,dec_str,dec,fst_dist,fst_disterr1,fst_disterr2,fst_distlim,fst_teff,fst_tefferr1,fst_tefferr2,fst_tefflim,fst_logg,fst_loggerr1,fst_loggerr2,fst_logglim,fst_lum,fst_lumerr1,fst_lumerr2,fst_lumlim,fst_mass,fst_masserr1,fst_masserr2,fst_masslim,fst_rad,fst_raderr1,fst_raderr2,fst_radlim,fst_age,fst_ageerr1,fst_ageerr2,fst_agelim
Kepler-395,Kepler-395 b,0,2014,7.054346,0.00007,-0.00007,0,0.061,,,0,,,,,1.08,,,0,M-R relationship,1.03,0.08,-0.08,0,4.83,0.16,-0.36,0,19h34m02.66s,293.511099,+45d08m11.8s,45.136598,360,18.99,-23.94,0,4262,100,-100,0,4.73,0.15,-0.15,0,-1.001,0.018,-0.019,0,0.58,0.02,-0.02,0,0.56,0.02,-0.02,0,1.6,0.7,-0.3,0
Kepler-395,Kepler-395 c,0,2014,34.989262,0.000543,-0.000543,0,0.177,,,0,,,,,2.3,,,0,M-R relationship,1.32,0.09,-0.09,0,4.83,0.16,-0.36,0,19h34m02.66s,293.511099,+45d08m11.8s,45.136598,360,18.99,-23.94,0,4262,100,-100,0,4.73,0.15,-0.15,0,-1.001,0.018,-0.019,0,0.58,0.02,-0.02,0,0.56,0.02,-0.02,0,1.6,0.7,-0.3,0
Kepler-396,Kepler-396 b,0,2013,42.994,,,0,,,,,,,,,75.5,11.8,-5.8,0,Mass,3.5,1.28,-0.65,0,9.68,,,0,19h44m31.88s,296.132818,+48d58m38.6s,48.977402,233,15.48,-12.9,0,5384,,,0,4.32,,,0,-0.144,0.005,-0.005,0,0.97,0.04,-0.04,0,1.17,,,0,4.37,3.08,-2.42,0
Kepler-396,Kepler-396 c,0,2013,88.505,,,0,,,,,,,,,17.9,2.8,-1.3,0,Mass,5.3,1.95,-0.99,0,0.661,,,0,19h44m31.88s,296.132818,+48d58m38.6s,48.977402,233,15.48,-12.9,0,5384,,,0,4.32,,,0,-0.144,0.005,-0.005,0,0.97,0.04,-0.04,0,1.17,,,0,4.37,3.08,-2.42,0
Kepler-397,Kepler-397 b,0,2014,22.250949,0.000186,-0.000186,0,0.144,,,0,,,,,6.62,,,0,M-R relationship,2.46,21.32,-21.32,0,2.44,,,0,19h43m34.59s,295.894109,+42d22m49.6s,42.380451,969,44.63,-41,0,5307,100,-100,0,4.57,0.15,-0.15,0,-0.376,,,0,0.79,0.05,-0.05,0,0.77,0.07,-0.07,0,5.25,4.13,-2.99,0
Kepler-397,Kepler-397 c,0,2014,135.498527,0.000668,-0.000668,0,0.48,,,0,,,,,31.6,,,0,M-R relationship,6.18,0.56,-0.56,0,0.736,,,0,19h43m34.59s,295.894109,+42d22m49.6s,42.380451,969,44.63,-41,0,5307,100,-100,0,4.57,0.15,-0.15,0,-0.376,,,0,0.79,0.05,-0.05,0,0.77,0.07,-0.07,0,5.25,4.13,-2.99,0
Kepler-398,Kepler-398 b,0,2014,4.081423,0.000011,-0.000011,0,0.044,,,0,,,,,0.749,,,0,M-R relationship,0.93,0.1,-0.1,0,5.12,,,0,19h25m52.48s,291.468662,+40d20m37.9s,40.343853,185,5.34,-5.86,0,4493,100,-100,0,4.69,0.15,-0.15,0,-0.821,0.004,-0.004,0,0.72,0.02,-0.03,0,0.61,0.03,-0.03,0,2.34,2.35,-0.892,0
Kepler-398,Kepler-398 c,0,2014,11.419412,0.000047,-0.000047,0,0.087,,,0,,,,,1.01,,,0,M-R relationship,1.01,0.11,-0.11,0,5.39,,,0,19h25m52.48s,291.468662,+40d20m37.9s,40.343853,185,5.34,-5.86,0,4493,100,-100,0,4.69,0.15,-0.15,0,-0.821,0.004,-0.004,0,0.72,0.02,-0.03,0,0.61,0.03,-0.03,0,2.34,2.35,-0.892,0
Kepler-398,Kepler-398 d,0,2016,6.83437001,0.00001518,-0.00001518,0,,,,,,,,,0.615,,,0,M-R relationship,0.88,0.03,-0.04,0,4.96,,,0,19h25m52.48s,291.468662,+40d20m37.9s,40.343853,185,5.34,-5.86,0,4493,100,-100,0,4.69,0.15,-0.15,0,-0.821,0.004,-0.004,0,0.72,0.02,-0.03,0,0.61,0.03,-0.03,0,2.34,2.35,-0.892,0
Kepler-399,Kepler-399 b,0,2014,14.425281,0.000144,-0.000144,0,0.103,,,0,,,,,0.84,,,0,M-R relationship,0.96,0.51,-0.51,0,5.22,,,0,19h58m00.42s,299.501738,+40d40m14.9s,40.670806,699,137.7,-81.13,0,5502,200,-200,0,4.62,0.3,-0.3,0,-0.418,,,0,0.94,0.1,-0.07,0,0.68,0.36,-0.36,0,3.98,4.69,-2.29,0
