fpl_hostname,fpl_name,fpl_controvflag,fpl_disc,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_orbperlim,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_smaxlim,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_eccenlim,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_bmasselim,fpl_bmassprov,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_radelim,fpl_dens,fpl_denserr1,fpl_denserr2,fpl_denslim,ra_str,ra,dec_str,dec,fst_dist,fst_disterr1,fst_disterr2,fst_distlim,fst_teff,fst_tefferr1,fst_tefferr2,fst_tefflim,fst_logg,fst_loggerr1,fst_loggerr2,fst_logglim,fst_lum,fst_lumerr1,fst_lumerr2,fst_lumlim,fst_mass,fst_masserr1,fst_masserr2,fst_masslim,fst_rad,fst_raderr1,fst_raderr2,fst_radlim,fst_age,fst_ageerr1,fst_ageerr2,fst_agelim
11 Com,11 Com b,0,2007,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,6165.6,476.7,-476.7,0,Msini,12.1,,,0,19.1,,,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0,4742,100,-100,0,2.31,0.1,-0.1,0,2.243,0.071,-0.085,0,2.7,0.3,-0.3,0,19,2,-2,0,,,,
11 UMi,11 UMi b,0,2009,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,0.08,0.03,-0.03,0,4684.8142,794.575,-794.575,0,Msini,12.3,,,0,13.8,,,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0,4213,46,-46,0,1.93,0.07,-0.07,0,2.43,0.008,-0.008,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,1.56,0.54,-0.54,0
14 And,14 And b,0,2008,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,1525.5,,,0,Msini,12.9,,,0,3.9,,,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0,4813,20,-20,0,2.63,0.07,-0.07,0,1.763,,,0,2.2,0.1,-0.2,0,11,1,-1,0,4.5,1.9,-1.9,0
14 Her,14 Her b,0,2002,1773.40002,2.5,-2.5,0,2.93,0.08,-0.08,0,0.37,0,0,0,1481.0878,47.6745,-47.6745,0,Msini,12.9,,,0,3.79,,,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0,5338,25,-25,0,4.45,0.02,-0.02,0,-0.151,0,0,0,0.9,0.04,-0.04,0,0.93,0.01,-0.01,0,5.24,,,0
16 Cyg B,16 Cyg B b,0,1996,798.5,1,-1,0,1.66,0.03,-0.03,0,0.68,0.02,-0.02,0,565.7374,25.4264,-25.4264,0,Msini,13.5,,,0,1.26,,,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.23,-0.23,0,5750,8,-8,0,4.36,0.01,-0.01,0,0.1,0,0,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,7.4,0.1,-0.1,0
18 Del,18 Del b,0,2008,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,3273.5,,,0,Msini,12.5,,,0,9.21,,,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0,4979,18,-18,0,2.82,0.06,-0.06,0,1.602,,,0,2.3,,,0,8.5,,,0,1.1,0.1,-0.1,0
1RXS J160929.1-210524,1RXS J160929.1-210524 b,0,2008,,,,,330,,,0,,,,,3000,300,-300,0,Mass,18.647,,,0,2.54,,,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,14,-14,0,4060,300,-200,0,,,,,-0.37,0.15,-0.15,0,0.85,0.2,-0.1,0,1.18,0.11,-0.14,0,0.005,,,0
24 Boo,24 Boo b,0,2018,30.3506,0.0078,-0.0077,0,0.19,0.012,-0.009,0,0.042,0.048,-0.029,0,289.2253,41.3179,-31.783,0,Msini,13.9,,,0,0.592,,,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0,4893,15,-15,0,2.42,0.1,-0.1,0,1.774,0.047,-0.053,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,6.92,4.83,-2.75,0
24 Sex,24 Sex b,0,2010,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,632.46,82.63,-120.77,0,Msini,13.4,,,0,1.44,,,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,5098,44,-44,0,3.5,0.1,-0.1,0,1.164,0.003,-0.003,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,2.7,0.4,-0.4,0
24 Sex,24 Sex c,0,2010,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,273.32,111.24,-69.92,0,Msini,13.9,,,0,0.559,,,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,5098,44,-44,0,3.5,0.1,-0.1,0,1.164,0.003,-0.003,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,2.7,0.4,-0.4,0
2MASS J01225093-2439505,2MASS J01225093-2439505 b,0,2013,,,,,52,6,-6,0,,,,,7786.5,794.5,-794.5,0,Mass,11.209,,,0,30.4,,,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,4,-4,0,3530,50,-50,0,,,,,-1.72,0.11,-0.11,0,0.4,0.05,-0.05,0,,,,,0.12,0.01,-0.01,0
2MASS J02192210-3925225,2MASS J02192210-3925225 b,0,2015,,,,,156,10,-10,0,,,,,4417.837,349.613,-349.613,0,Mass,16.141,0.336,-0.336,0,5.77,,,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,2.6,-2.6,0,3064,76,-76,0,4.59,0.06,-0.06,0,-2.23,0.06,-0.06,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,0.035,0.005,-0.005,0
2MASS J04414489+2301513,2MASS J04414489+2301513 b,0,2010,,,,,15,,,0,,,,,2383.6,794.5,-794.5,0,Mass,12.6,,,0,6.55,,,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,,,0,,,,,,,,,,,,,0.02,,,0,,,,,0.001,,,0
2MASS J12073346-3932539,2MASS J12073346-3932539 b,0,2004,,,,,46,5,-5,0,,,,,1271,318,-318,0,Mass,13,,,0,3.18,,,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.4,1.1,-1.1,0,,,,,,,,,,,,,0.02,,,0,,,,,0.008,0.004,-0.003,0
2MASS J19383260+4603591,2MASS J19383260+4603591 b,0,2015,416,2,-2,0,0.92,0.02,-0.02,0,,,,,603.877,31.783,-31.783,0,Mass,13.4,,,0,1.38,,,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,396.36,6.38,-6.2,0,10868,380,-380,0,3.91,,,0,0.168,,,0,0.48,0.03,-0.03,0,0.34,0.03,-0.02,0,,,,
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,0,2009,7336.5,1934.5,-584,0,,,,,0.26,0.06,-0.06,0,6657.48,26629.91,-6657.48,0,Mass,10.31,4.37,-4.04,0,33.4,,,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,10,-10,0,2300,80,-80,0,,,,,-3.48,0.35,-0.35,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,,,,
2MASS J22362452+4751425,2MASS J22362452+4751425 b,0,2016,,,,,230,20,-20,0,,,,,3972.875,476.745,-476.745,0,Mass,12.3,,,0,11.7,,,0,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74,10,-10,0,4045,35,-35,0,,,,,-1.021,0.002,-0.002,0,0.6,0.05,-0.05,0,0.62,0.05,-0.08,0,0.12,0.01,-0.01,0
30 Ari B,30 Ari B b,0,2009,335.10001,2.5,-2.5,0,0.99,0.02,-0.02,0,0.29,0.09,-0.09,0,4392.4106,572.094,-572.094,0,Msini,12.3,,,0,13,,,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,0.1,-0.1,0,6331,61,-61,0,4.43,0.05,-0.05,0,0.381,0.001,-0.001,0,1.93,0.27,-0.27,0,1.41,0.05,-0.05,0,0.91,0.83,-0.83,0
4 UMa,4 UMa b,0,2006,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,0.432,0.024,-0.024,0,2256.5,508.5,-508.5,0,Msini,12.7,,,0,6.05,,,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,1.18,-1.18,0,4415,70,-70,0,1.8,0.15,-0.15,0,2.062,0.008,-0.008,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,4.604,2,-2,0
42 Dra,42 Dra b,0,2008,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,0.38,0.06,-0.06,0,1233.13,270.14,-270.14,0,Msini,13,,,0,3.08,,,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,1.32,-1.32,0,4200,70,-70,0,1.71,0.05,-0.05,0,2.155,0.007,-0.008,0,0.98,0.05,-0.05,0,22.03,1,-1,0,9.49,1.76,-1.76,0
47 UMa,47 UMa b,0,1996,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,804.08,22.25,-19.07,0,Msini,13.2,,,0,1.92,,,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,5892,70,-70,0,4.27,0.1,-0.1,0,0.216,0.002,-0.002,0,1.03,0.05,-0.05,0,1.23,,,0,7.3,1.9,-1.9,0
47 UMa,47 UMa c,0,2001,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,171.621,20.976,-23.201,0,Msini,14.2,,,0,0.329,,,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,5892,70,-70,0,4.27,0.1,-0.1,0,0.216,0.002,-0.002,0,1.03,0.05,-0.05,0,1.23,,,0,7.3,1.9,-1.9,0
47 UMa,47 UMa d,0,2009,14002,4018,-5095,0,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,521.22,92.17,-152.55,0,Msini,13.5,,,0,1.16,,,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,5892,70,-70,0,4.27,0.1,-0.1,0,0.216,0.002,-0.002,0,1.03,0.05,-0.05,0,1.23,,,0,7.3,1.9,-1.9,0
51 Eri,51 Eri b,0,2015,14965,12775,-4380,0,13.2,0.2,-0.2,0,0.21,0.19,-0.15,0,635.66,,,0,Mass,13.4,,,0,1.45,,,0,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,0.3,-0.3,0,7190.1,183.4,-159.1,0,,,,,0.85,0.06,-0.06,0,1.75,0.05,-0.05,0,1.56,0.07,-0.08,0,0.02,0.006,-0.006,0
51 Peg,51 Peg b,0,1995,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,0.013,0.012,-0.012,0,146.2018,19.0698,-3.1783,0,Mass,14.3,,,0,0.275,,,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,0.03,-0.03,0,5793,70,-70,0,4.33,0.1,-0.1,0,0.147,0.001,-0.001,0,1.12,0.06,-0.06,0,1.2,,,0,4,2.5,-2.5,0
55 Cnc,55 Cnc b,0,1996,14.65152,0.00015,-0.00015,0,0.115227,0.000001,-0.000001,0,0.0034,0.0032,-0.0032,0,263.9785,1.0488,-1.0488,0,Mass,13.9,,,0,0.54,,,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,5196,24,-24,0,4.45,0.01,-0.01,0,-0.235,0.01,-0.011,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10.2,2.5,-2.5,0
55 Cnc,55 Cnc c,0,2004,44.4175,0.0073,-0.0073,0,0.241376,0.000026,-0.000026,0,0.02,0.031,-0.031,0,54.4738,1.748,-1.748,0,Mass,8.51,,,0,0.486,,,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,5196,24,-24,0,4.45,0.01,-0.01,0,-0.235,0.01,-0.011,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10.2,2.5,-2.5,0
55 Cnc,55 Cnc d,0,2002,4825,39,-39,0,5.503,0.03,-0.03,0,0.019,0.013,-0.013,0,1232.493,21.612,-21.612,0,Mass,13,,,0,3.08,,,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,5196,24,-24,0,4.45,0.01,-0.01,0,-0.235,0.01,-0.011,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10.2,2.5,-2.5,0
55 Cnc,55 Cnc e,0,2004,0.736539,0.000007,-0.000007,0,0.01544,0.00009,-0.00009,0,0.028,0.022,-0.019,0,8.08,0.31,-0.31,0,Mass,1.91,0.08,-0.08,0,6.4,0.8,-0.7,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,5196,24,-24,0,4.45,0.01,-0.01,0,-0.235,0.01,-0.011,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10.2,2.5,-2.5,0
55 Cnc,55 Cnc f,0,2007,262,0.51,-0.51,0,0.788,0.001,-0.001,0,0.305,0.075,-0.075,0,44.812,3.814,-3.814,0,Mass,7.59,,,0,0.563,,,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,5196,24,-24,0,4.45,0.01,-0.01,0,-0.235,0.01,-0.011,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10.2,2.5,-2.5,0
6 Lyn,6 Lyn b,0,2008,934.3,8.6,-8.6,0,2.11,0.11,-0.11,0,0.073,0.036,-0.036,0,638.8383,24.47291,-24.47291,0,Msini,13.4,,,0,1.46,,,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,0.27,-0.27,0,4938,,,0,3.19,,,0,1.156,0.003,-0.003,0,1.44,,,0,5.2,,,0,2.353,0.211,-0.211,0
61 Vir,61 Vir b,0,2009,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,0.12,0.11,-0.11,0,5.1,0.5,-0.5,0,Msini,2.11,,,0,2.98,,,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,5577,33,-33,0,4.34,0.03,-0.03,0,-0.095,0.003,-0.003,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,8.96,2.76,-3.08,0
61 Vir,61 Vir c,0,2009,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,0.14,0.06,-0.06,0,18.2,1.1,-1.1,0,Msini,4.46,,,0,1.13,,,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,5577,33,-33,0,4.34,0.03,-0.03,0,-0.095,0.003,-0.003,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,8.96,2.76,-3.08,0
61 Vir,61 Vir d,0,2009,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,22.9,2.6,-2.6,0,Msini,5.11,,,0,0.943,,,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,5577,33,-33,0,4.34,0.03,-0.03,0,-0.095,0.003,-0.003,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,8.96,2.76,-3.08,0
7 CMa,7 CMa b,0,2011,796,7.4,-7.4,0,1.93,0.01,-0.01,0,0.22,0.07,-0.07,0,781.8618,44.4962,-44.4962,0,Msini,13.3,,,0,1.83,,,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0,4792,100,-100,0,3.25,0.1,-0.1,0,1.053,0.011,-0.012,0,1.52,0.3,-0.3,0,2.3,0.1,-0.1,0,,,,
70 Vir,70 Vir b,0,1996,116.688,0.0054,-0.0054,0,0.481,0.022,-0.022,0,0.3988,0.0019,-0.0019,0,2380.45,193.87,-193.87,0,Mass,12.6,,,0,6.54,,,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,0.06,-0.06,0,5495,,,0,3.95,,,0,0.487,0.002,-0.002,0,1.09,,,0,1.89,,,0,7.92,0.28,-0.16,0
75 Cet,75 Cet b,0,2012,691.9,3.6,-3.6,0,2.1,,,0,0.117,0.048,-0.048,0,953.49,,,0,Msini,13.1,,,0,2.33,,,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,0.72,-0.72,0,4846,18,-18,0,2.63,0.05,-0.05,0,1.73,,,0,2.49,0.02,-0.27,0,10.5,1,-1,0,,,,
8 UMi,8 UMi b,0,2015,93.4,4.5,-4.5,0,0.49,0.02,-0.02,0,0.06,0.09,-0.09,0,416.3573,50.8528,-50.8528,0,Msini,13.6,,,0,0.91,,,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.1,11,-11,0,4847,7,-7,0,2.57,0.03,-0.03,0,1.725,0.003,-0.003,0,1.44,0.19,-0.19,0,10.3,0.57,-0.57,0,1.7,0.2,-0.2,0
81 Cet,81 Cet b,0,2008,952.7,8.8,-8.8,0,2.5,,,0,0.206,0.029,-0.029,0,1684.4,,,0,Msini,12.8,,,0,4.41,,,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,1.22,-1.22,0,4785,25,-25,0,2.35,0.08,-0.08,0,1.778,,,0,2.4,0.1,-0.4,0,11,2,-1,0,,,,
91 Aqr,91 Aqr b,0,2013,181.4,0.1,-0.1,0,0.7,,,0,0.027,0.026,-0.026,0,1017,,,0,Msini,13.1,,,0,2.49,,,0,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,44.08,0.51,-0.51,0,4665,18,-18,0,2.52,0.05,-0.05,0,1.692,0.006,-0.006,0,1.4,0.1,-0.1,0,11,0.1,-0.1,0,3.56,0.63,-0.63,0
AB Pic,AB Pic b,0,2005,,,,,260,,,0,,,,,4290.5,158.9,-158.9,0,Mass,12.3,,,0,12.7,,,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,50.12,0.07,-0.07,0,5378,55,-55,0,4.44,0.21,-0.21,0,-0.226,0.001,-0.001,0,0.9,0.1,-0.1,0,1,0.03,-0.02,0,0.03,,,0
BD+03 2562,BD+03 2562 b,0,2017,481.9,2.7,-2.8,0,1.3,0.1,-0.1,0,0.2,0.12,-0.08,0,2034.112,413.179,-413.179,0,Msini,12.7,,,0,5.46,,,0,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,2618,564,-564,0,4095,20,-20,0,1.89,0.1,-0.1,0,2.7,0.14,-0.14,0,1.14,0.25,-0.25,0,32.35,8.82,-8.82,0,5.2,4.75,-2.75,0
BD+14 4559,BD+14 4559 b,0,2009,268.94,0.99,-0.99,0,0.78,0.05,-0.05,0,0.29,0.03,-0.03,0,330.5432,149.3801,-149.3801,0,Msini,13.8,,,0,0.691,,,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,0.08,-0.08,0,4864,101,-101,0,4.26,0.29,-0.29,0,-0.424,0.001,-0.001,0,0.49,0.33,-0.33,0,0.86,0.04,-0.04,0,,,,0
BD+15 2375,BD+15 2375 b,0,2016,153.22,0.44,-0.44,0,0.576,0.027,-0.027,0,0.001,0.25,-0.001,0,337.21763,85.8141,-85.8141,0,Msini,13.8,,,0,0.705,,,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774,165,-165,0,4649,30,-30,0,2.61,0.12,-0.12,0,1.57,0.1,-0.1,0,1.08,0.14,-0.14,0,8.95,1.45,-1.45,0,7.41,3.81,-2.52,0
BD+15 2940,BD+15 2940 b,0,2013,137.48,0.34,-0.34,0,0.539,,,0,0.26,0.1,-0.1,0,352.78,,,0,Msini,13.7,,,0,0.754,,,0,16h00m22.94s,240.095566,+15d32m48.9s,15.54693,431.61,6.55,-6.55,0,4796,117,-117,0,2.8,0.45,-0.45,0,2.01,0.75,-0.75,0,1.1,0.2,-0.2,0,14.7,2.8,-2.8,0,7.1,4.2,-4.2,0
BD+20 2457,BD+20 2457 b,0,2009,379.63,2,-2,0,1.05,0.07,-0.07,0,0.15,0.03,-0.03,0,17668.1697,24965.5465,-24965.5465,0,Msini,11.6,,,0,62.2,,,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,200,,-168.25,0,4259,64,-64,0,1.77,0.19,-0.19,0,2.768,0.067,-0.079,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,,,,0
BD+20 2457,BD+20 2457 c,0,2009,621.99,10.2,-10.2,0,2.01,,,0,0.18,0.06,-0.06,0,3963.17,,,0,Msini,12.4,,,0,11.4,,,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,200,,-168.25,0,4259,64,-64,0,1.77,0.19,-0.19,0,2.768,0.067,-0.079,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,,,,0
BD+20 274,BD+20 274 b,0,2012,578.2,5.4,-5.4,0,1.3,,,0,0.21,0.06,-0.06,0,1334.886,,,0,Msini,13,,,0,3.34,,,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,1383.85,86.64,-86.64,0,4296,10,-10,0,1.99,0.05,-0.05,0,1.96,0.18,-0.18,0,0.8,0.2,-0.2,0,17.3,0.9,-0.9,0,,,,
BD+20 594,BD+20 594 b,0,2016,41.6855,0.003,-0.003,0,0.241,0.019,-0.017,0,0,,,0,22.2481,9.5349,-9.5349,0,Mass,2.578,0.112,-0.112,0,7.89,3.4,-3.1,0,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,1.25,-1.25,0,5766,99,-99,0,4.5,0.08,-0.08,0,0.05,0.004,-0.004,0,1.67,0.4,-0.4,0,1.08,0.06,-0.06,0,3.34,1.95,-1.49,0
BD+48 738,BD+48 738 b,0,2011,392.6,5.5,-5.5,0,1,,,0,0.2,0.1,-0.1,0,289.2253,,,0,Msini,13.9,,,0,0.592,,,0,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,892.17,44.78,-44.78,0,4414,15,-15,0,2.24,0.06,-0.06,0,1.69,0.33,-0.33,0,0.74,0.39,-0.39,0,11,1,-1,0,,,,
BD+48 740,BD+48 740 b,0,2018,733,5,-8,0,1.7,0.1,-0.1,0,0.76,0.05,-0.09,0,540.311,222.481,-222.481,0,Msini,13.5,,,0,1.21,,,0,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,678.94,22.15,-22.15,0,4534,8,-8,0,2.48,0.04,-0.04,0,1.64,0.12,-0.12,0,1.09,0.16,-0.16,0,10.33,1.81,-1.81,0,,,,0
BD+49 828,BD+49 828 b,0,2015,2590,300,-180,0,4.2,0.32,-0.2,0,0.35,0.24,-0.1,0,508.5,127.1,-63.6,0,Msini,13.5,,,0,1.14,,,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,447.59,7.79,-7.79,0,4943,30,-30,0,2.85,0.09,-0.09,0,1.47,0.13,-0.13,0,1.52,0.22,-0.22,0,7.6,1.3,-1.3,0,2.34,1.2,-0.8,0
BD-06 1339,BD-06 1339 b,0,2013,3.8728,0.0004,-0.0004,0,0.0428,0.0007,-0.0007,0,0,,,0,8.5,1.3,-1.3,0,Msini,2.85,,,0,2.02,,,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,0.02,-0.02,0,4324,100,-100,0,4.74,0.02,-0.02,0,-1.022,0.043,-0.048,0,0.7,,,0,0.67,0.05,-0.1,0,4.4,4,-4,0
BD-06 1339,BD-06 1339 c,0,2013,125.94,0.44,-0.44,0,0.435,0.007,-0.007,0,0.31,0.11,-0.11,0,53,8,-8,0,Msini,8.38,,,0,0.495,,,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,0.02,-0.02,0,4324,100,-100,0,4.74,0.02,-0.02,0,-1.022,0.043,-0.048,0,0.7,,,0,0.67,0.05,-0.1,0,4.4,4,-4,0
BD-08 2823,BD-08 2823 b,0,2009,5.6,0.02,-0.02,0,0.06,0,0,0,0.15,0.15,-0.15,0,12.7132,3.1783,-3.1783,0,Msini,3.61,,,0,1.48,,,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,41.38,0.07,-0.07,0,4816,114,-114,0,4.43,0.22,-0.22,0,-0.626,0.001,-0.001,0,0.5,0.26,-0.26,0,0.71,0.04,-0.04,0,4.5,4,-4,0
BD-08 2823,BD-08 2823 c,0,2009,237.6,1.5,-1.5,0,0.68,0.02,-0.02,0,0.19,0.09,-0.09,0,104,10,-10,0,Msini,12.5,,,0,0.293,,,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,41.38,0.07,-0.07,0,4816,114,-114,0,4.43,0.22,-0.22,0,-0.626,0.001,-0.001,0,0.5,0.26,-0.26,0,0.71,0.04,-0.04,0,4.5,4,-4,0
BD-10 3166,BD-10 3166 b,0,2000,3.48777,0.00011,-0.00011,0,0.04,0,0,0,0.02,0.02,-0.02,0,187.5197,22.2481,-22.2481,0,Msini,14.1,,,0,0.368,,,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,80,10,-10,0,5393,44,-44,0,4.69,0.06,-0.06,0,-0.191,0.002,-0.003,0,1.47,0.24,-0.24,0,0.91,0.04,-0.04,0,1,2,-1,1
BD-11 4672,BD-11 4672 b,0,2014,1667,33,-31,0,2.28,0.07,-0.07,0,0.05,0.06,-0.04,0,168.44,15.89,-15.89,0,Msini,14.2,,,0,0.323,,,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.3,,,0,4475,100,-100,0,4.1,0.36,-0.36,0,-0.881,0.001,-0.001,0,0.57,0.01,-0.01,0,0.52,0.02,-0.02,0,4.4,4,-4,0
BD-13 2130,BD-13 2130 b,0,2007,714.29999,5.3,-5.3,0,1.66,0.12,-0.12,0,0.21,0.07,-0.07,0,3108.3774,1449.3048,-1449.3048,0,Msini,12.5,,,0,8.75,,,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,766,,,0,4545,71,-71,0,2.2,0.2,-0.2,0,2.043,0.027,-0.028,0,2.12,1.47,-1.47,0,19.17,4.96,-4.96,0,0.74,0.2,-0.2,0
BD-17 63,BD-17 63 b,0,2008,655.59998,0.6,-0.6,0,1.34,0.02,-0.02,0,0.54,0,0,0,905.8155,368.6828,-368.6828,0,Msini,13.2,,,0,2.16,,,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,34.49,0.09,-0.09,0,4665,120,-120,0,4.19,0.26,-0.26,0,-0.651,0.001,-0.001,0,0.31,0.19,-0.19,0,0.74,0.04,-0.04,0,4.3,4,-4,0
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,0,2011,10037.5,2737.5,-2737.5,0,2.6,0.3,-0.3,0,,,,,3337.1,1430.2,-1430.2,0,Mass,12.4,,,0,9.62,,,0,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.1,2.4,-2.4,0,580.5,24.5,-24.5,0,4.72,0.28,-0.28,0,,,,,0.02,0.01,-0.01,0,,,,,,,,0
CHXR 73,CHXR 73 b,0,2006,,,,,210,,,0,,,,,3994.486,2662.991,-1664.369,0,Mass,12.3,,,0,11.8,,,0,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,191.05,6.42,-6.42,0,,,,,,,,,,,,,0.35,,,0,,,,,0.002,,,0
CT Cha,CT Cha b,0,2007,,,,,440,,,0,,,,,5403,1907,-1907,0,Mass,24.66,9.08,-6.73,0,1.98,,,0,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165,30,-30,0,4200.2,211.46,-115.08,0,,,,,-0.102,0.004,-0.004,0,,,,,1.68,0.1,-0.16,0,0.002,0.002,-0.002,0
